Title,Output
"Jet Airways, India's premier international airline, and Etihad Airways today announced exciting special fares for its guests for Economy Class and Premiere travel, across the airlines’ domestic and international network ahead of the festive season",1
"Jet Airways enhances global connectivity with additional frequencies from Mumbai to Doha, Colombo & Bangkok",1
Jet Airways celebrates Children’s Day with a flight of fantasy,1
Statement attributable to a Jet Airways spokesperson,0
Jet Airways’ commences roll out of full service product across domestic network,0
Industrial unrest in Belgium,0
Jet Airways American Express corporate card program,0
Dubai Shoping Festival 2015,0
Jet Airways Introduces 12 Additional Domestic Frequencies As Enhanced Travel Options for Guests This Festive Season,1
Jet Airways India Limited closes landmark five-year syndicated loan,0
Jet Airways set to further enhance In-flight guest experience,0
Jet Airways launches inaugural flight from Mangalore to Dubai - Enhances Gulf connectivity,1
Jet Airways Offers New Year celebratory fares to the Gulf,1
"Jetairways.com to offer Forex Services, in partnership with CentrumDirect",0
Jet Airways second Delhi–Dubai Boeing 737-800 flight flagged off,1
Jet Airways Group Operating profits (EBITDAR) up by 244% despite higher fuel prices and rupee depreciation,0
Jet Airways’ JetEscapes introduces attractive holidays on the occasion of Valentine’s Day,0
Jet Airways announces nationwide travel bonanza for guests on the domestic sector with Low Fares,1
Jet Airways deploys new state-of-the-art Airbus 330-300 aircraft on Delhi-Toronto sector,1
Jet Airways introduces a range of initiatives to celebrate ‘International Women's Day’,0
Jet Airways inaugurates Kolkata’s new Integrated Terminal 2 (T2) with an international flight to Bangkok,1
Jet Airways partners with Dnata to offer UAE visa and marhaba services on jetairways.com,0
"Jet Airways introduces exciting, all-inclusive Jetescapes summer holidays starting Rs.14,595.",0
Jet Airways celebrates 20 years of excellence in the skies,0
Jet Airways launches the first airline mobile application (App) for Windows Phone in association with Nokia,0
Jet Airways revises baggage allowance on domestic routes,0
"Jet Airways announces daily services to Kuwait and Abu Dhabi from Kochi effective May 16, 2013",1
Jet Airways’ JetEscapes launches ‘Fly-Cruise’ vacations onboard Royal Caribbean International Cruises in partnership with TIRUN marketing,0
"Jet Airways posts a Loss of INR 4,955 million; hit by high fuel prices, weak rupee against US dollar and other exceptional items",0
"Jet Airways' JetPrivilege inks partnerships with leading brands in retail, travel and publishing",0
Jet Airways announces senior management change,0
"Jet Airways announces Codeshare agreements with Air France, KLM Royal Dutch Airlines to enhance connectivity between Europe & India",1
Jet Airways’ Jetescapes offers guests exciting holiday options to Bangladesh,1
Jet Airways declared “Best Domestic Airline” at CNBC Awaaz Travel Awards 2013,0
Jet Airways launches its mobile airline application for BlackBerry 10,0
"Jet Airways enhances regional connectivity with the introduction of new ATR flights from Bengaluru to Vijayawada, Trichy via Kochi from July 25, 2013",1
Jet Airways enters into a reciprocal frequent flyer partnership with Air New Zealand,1
Jet Airways wins prestigious Monitor award in Bangladesh,0
Jet Airways reports its results for quarter ending June 2013,0
"Chairman’s Speech at the 21st Annual General Meeting - On 8th August, 2013",0
Jet Airways launches its mobile application for Android smartphones,0
Jet Airways’ JetEscapes introduces attractive holidays for travellers from Sri Lanka,1
Jet Airways guests can now book & pay for their JetEscapes holidays on jetairways.com,1
Jet Airways' JetPrivilege inks partnership with ColorPlus,0
Jet Airways’ JetEscapes introduces attractive ‘Fly & Cruise’ vacations onboard Royal Caribbean International Cruises,0
"Rupee depreciation and Economic slowdown results in Jet Group posting a Loss After Tax of INR 9,985 Million for Q2 FY14",0
Jet Airways introduces second service from Mumbai to Singapore,1
Jet Airways gives wings to dreams with Flight of Fantasy on the occasion of children’s day,1
Jet Airways Offers guests attractive All Inclusive JetEscapes Holidays for The Dubai Shopping Festival 2014,0
Jet Airways signs code share agreement with Garuda Indonesia,1
Etihad Airways – Jet Airways move ahead with strategic alliance following final approvals,0
Etihad Airways holds Manchester City football clinics hosted by Jet Airways in India,0
Jet Airways partners with Greek Wellness brand ‘Korres’ for inflight ammenity kits,0
Jet Airways enhances flight connectivity to Saudi Arabia with new daily services from Kochi & Chennai to Dammam,1
Jet Airways wins top honours at Global Traveller ‘Wines on the Wing’ awards,0
Jet Airways brings festive cheer to the students of Save the Children India school,0
Jet Airways takes students from Cochlear Implant Habilitation and Infant Training Centre and Kamla Dharamshi Narsee Shruti School for a tour of the airline’s maintenance hangar,0
Jet Airways launches its mobile application for iOS,0
Diversity Training Now Mandatory for Delta Air Lines Flight Crews | TravelPulse,0
"US Airlines Had Most Successful November Ever for Cancellations, Mishandled Bags | TravelPulse",0
British Airways Preparing For Another Strike | TravelPulse,0
How To Make Flying as Pleasant as Possible | TravelPulse,0
Expedia Study Highlights Most Infuriating Passenger Behaviors | TravelPulse,0
easyJet Actually Fired A Flight Attendant Over a Bacon Sandwich | TravelPulse,0
WATCH: SpaceX Returns With Critical Airline Tracking Satellite | TravelPulse,0
Qatar Sets Date For Las Vegas Service | TravelPulse,0
"Rough Day At the Airport, In The Air | TravelPulse",0
Protecting booking engines from unwanted traffic - Tnooz,0
"Travelport hires for MESA, Dreamlines to grow, EasyJet digital promotions, and more....",0
Donald Trump and Ryanair CEO Michael O'Leary - two men with similar issues,0
"Booking.com overhauls payment platform, Ideas renews Sokos, Hotelbeds Group on a cloud, and more...",0
Travel brands on alert as Google increases machine learning on search results,0
TUI taps 600 in-house social media feeds for content hub - Tnooz,0
But how do you feel? The role of emotion in travel purchasing decisions - Tnooz,0
"Arizona adventurous with Expedia, FCO puts Phileas Fogg in VR, and more...",0
"CarTrawler and Distribusion pact, Sabre distributes Legacy Hotels, and more...",0
Winners and losers in the US travel website marketplace,0
Emirates Brings Daily A380 Service to Sao Paulo,1
"Emirates A380 Returns to Narita, Japan",0
Etihad Airways goes double daily to Düsseldorf,1
Tunisair announces executive appointments | CAPA - Centre for Aviation,0
Iran and France sign BOT contract to develop Mashhad Airport | CAPA - Centre for Aviation,0
Kenya Airways pax up 5% to 1.1m in Q3FY2017 | CAPA - Centre for Aviation,1
Japan MLITT: International traffic continues to increase by double digits in Nov-2016 | CAPA - Centre for Aviation,0
Mitsubishi Aircraft Corporation: Design changes will not affect MRJ performance | CAPA - Centre for Aviation,0
Auckland International Airport pax up 12% in Dec-2016; 18.3m pax in 2016 | CAPA - Centre for Aviation,1
"Dubai World Central pax up 84.5% to 850,633 in 2016 | CAPA - Centre for Aviation",1
UPS reports 'extraordinary performance' in international segment in 4Q2016 | CAPA - Centre for Aviation,0
"South Korea reports record high air traffic, 739,013 movements in 2016 | CAPA - Centre for Aviation",1
"JAL Group operating profit decline 10% in Q3FY2016, maintains full year outlook | CAPA - Centre for Aviation",0
"Santiago International Airport pax up 16%, cargo up 19% in Dec-2016; 19.2m pax in 2016 | CAPA - Centre for Aviation",1
"Los Angeles International Airport pax up 8%, cargo up 8% in Dec-2016; 80.9m pax in 2016 | CAPA - Centre for Aviation",1
Changi Airport Group CEO maintain a positive outlook for 2017 | CAPA - Centre for Aviation,0
Doha Hamad International Airport pax up 15% in Dec-2016; 37.3m pax in 2016 | CAPA - Centre for Aviation,1
Flybe revenue continued to grow in Q3FY2017 | CAPA - Centre for Aviation,0
"South Korea’s domestic pax up 11% to 30.9m in 2016, int’l pax up 19% to 73.0m | CAPA - Centre for Aviation",1
Lufthansa may wetlease aircraft from airberlin: Bundeskartellamt | CAPA - Centre for Aviation,0
Russia's airports record 0.2% increase in pax for 2016 | CAPA - Centre for Aviation,1
Indonesia wants to develop a Jakarta Soekarno-Hatta International Airport II | CAPA - Centre for Aviation,1
Comair expects increased earnings per share for 2H2016 | CAPA - Centre for Aviation,0
IATA: US EO on travel caused 'confusion' and 'additional burdens' for airlines and travellers | CAPA - Centre for Aviation,0
Jazeera Airways appoints new CEO | CAPA - Centre for Aviation,0
Gol reports preliminary operational highlights in 4Q2016 | CAPA - Centre for Aviation,0
Etihad Airways introduces third daily flight to Bengaluru -Etihad Airways,1
Turkish Airlines Brings Super Bowl To The Skies | TravelPulse,0
DEAL ALERT: Fly to New Orleans Roundtrip for $180 from Los Angeles | TravelPulse,1
Flight Review: British Airways From San Diego to London | TravelPulse,1
JetBlue Just Surprised Commuters in NYC With A Jamaica Trip | TravelPulse,1
Delta Flight Operations Returning to Normal After System Outage | TravelPulse,0
Delta Grounds All Domestic Flights | TravelPulse,1
Airport Protests Continue For Second Day | TravelPulse,0
"American, Qantas Plan To Resubmit Joint Venture Agreement | TravelPulse",0
Deal Alert: Flights From Seattle to Amsterdam as Low as $434 | TravelPulse,1
REPORT: JetBlue to Trim Flights Due to Revenue Losses | TravelPulse,1
"Southwest, American, JetBlue Surge In Earnings Reports | TravelPulse",0
"ECommPay looks to Europe, Grab to grow in Indonesia, and more....",0
Online travel abandonment rates in a couple of slides,0
Alitalia and Royal Jordanian sign codeshare agreement | CAPA - Centre for Aviation,1
Air France and AtlasGlobal sign codeshare agreement | CAPA - Centre for Aviation,1
"Milwaukee General Mitchell International Airport pax up 2% in Dec-2016, 6.8m pax in 2016 | CAPA - Centre for Aviation",1
COOPANS alliance ANSPs coordinate rollout of ATM system update | CAPA - Centre for Aviation,0
Etihad Aviation Group and Lufthansa Group extend cooperation,0
Etihad Aviation Group and Lufthansa Group extend cooperation,0
"Vancouver International Airport pax up 11%, cargo up 7% in Dec-2016; 22.3m pax in 2016 | CAPA - Centre for Aviation",1
Kenya Airways pax up 5% to 1.1m in Q3FY2017 | CAPA - Centre for Aviation,1
Japan MLITT: International traffic continues to increase by double digits in Nov-2016 | CAPA - Centre for Aviation,1
Auckland International Airport pax up 12% in Dec-2016; 18.3m pax in 2016 | CAPA - Centre for Aviation,1
"Dubai World Central pax up 84.5% to 850,633 in 2016 | CAPA - Centre for Aviation",1
"Milwaukee General Mitchell International Airport pax up 2% in Dec-2016, 6.8m pax in 2016 | CAPA - Centre for Aviation",1
"South Korea reports record high air traffic, 739,013 movements in 2016 | CAPA - Centre for Aviation",1
"Santiago International Airport pax up 16%, cargo up 19% in Dec-2016; 19.2m pax in 2016 | CAPA - Centre for Aviation",1
"Los Angeles International Airport pax up 8%, cargo up 8% in Dec-2016; 80.9m pax in 2016 | CAPA - Centre for Aviation",1
Delta Enhances SkyMiles Program's Choice Benefits Feature | TravelPulse,0
"Virgin Atlantic, Emirates Latest To Join TSA PreCheck | TravelPulse",0
Airline Stocks Plummet In Wake Of Travel Ban | TravelPulse,0
British Airways Cabin Crew To Strike Again | TravelPulse,0
Deal Alert: Flights From Atlanta to Amsterdam Roundtrip From $383 | TravelPulse,1
Emirates Forced To Change Crews Over Immigration Ban | TravelPulse,0
Citilink president director and production director resign | CAPA - Centre for Aviation,0
IATA: Asia Pacific 3Q2016 financials show a 'solid improvement in operating margin' | CAPA - Centre for Aviation,0
"Garuda Indonesia Group pax up 8% to 3.3m in Dec-2016, 35.0m pax in 2016 | CAPA - Centre for Aviation",1
IATA: Global airfreight volume growth in 2016 nearly double the five year average | CAPA - Centre for Aviation,1
India's Civil Aviation Ministry receives increased budgetary allocation of USD767m in FY2017/2018 | CAPA - Centre for Aviation,0
Flydubai reports USD8.6m profit in 2016 | CAPA - Centre for Aviation,0
"flydubai reports fifth consecutive year of profitability in 2016, flat growth forecast for 2017 | CAPA - Centre for Aviation",0
IATA releases Africa and Middle East state of the region report for Dce-2016 | CAPA - Centre for Aviation,0
Bombardier and CityJet finalise purchase agreement for up to 10 CRJ900 aircraft | CAPA - Centre for Aviation,0
Etihad Aviation Group and Lufthansa Group expand cooperation to include catering and MRO | CAPA - Centre for Aviation,0
"SAS obtains an AOC in Ireland, planning operational bases in London and Spain | CAPA - Centre for Aviation",0
Spirit AeroSystems profits decline in 2016 | CAPA - Centre for Aviation,0
"Wizz Air Group operating profit decline in Q3FY2017, downgrades full year outlook | CAPA - Centre for Aviation",0
"Tokyo Haneda Airport pax up 6% in Dec-2016, 79.3m pax in 2016 | CAPA - Centre for Aviation",1
"Sapporo Chitose Airport pax down 1% in Dec-2016, 21.3m pax in 2016 | CAPA - Centre for Aviation",1
Synergy Aerospace to invest USD200m on Avianca Holdings | CAPA - Centre for Aviation,0
Citilink president director and production director resign | CAPA - Centre for Aviation,0
IATA: European carriers show best EBIT margin performance across all IATA regions in 3Q2016 | CAPA - Centre for Aviation,0
Select Tier 2 city airports to be 'taken up for operation and maintenance in the PPP mode' | CAPA - Centre for Aviation,0
Avianca Holdings selects United Airlines as strategic partner | CAPA - Centre for Aviation,0
Lufthansa Technik completes cabin installation of first Lufthansa A350-900 | CAPA - Centre for Aviation,0
Emirates opens access to its premium lounges at Dubai International Airport,0
Jet Airways introduces second daily flight between New Delhi and Abu Dhabi,1
American Airlines Opens Office in Cuba | TravelPulse,0
Craziest Items the TSA Has Seized in January | TravelPulse,0
South African Airways Offers $679 Independence Day Roundtrip to Ghana | TravelPulse,1
Deal Alert: Travel to Spain for Under $400 Roundtrip with Air Europa | TravelPulse,1
Virgin Australia 2QFY2017 trading affected by 'subdued industry trading conditions' | CAPA - Centre for Aviation,0
Virgin Australia Holdings reports USD34m underlying profit in 2QFY2017 | CAPA - Centre for Aviation,0
"IATA: Asia Pacific and Middle East lead growth in 2016, Latin America and Africa positive | CAPA - Centre for Aviation",0
"ANA Group international pax up 15% in Dec-2016, domestic pax up 4% | CAPA - Centre for Aviation",1
Sao Paulo Guarulhos International Airport pax down 8% in Dec-2016; 36.6m pax in 2016 | CAPA - Centre for Aviation,1
SkyWest Inc in the red due to aircraft asset impairment in 4Q2016 | CAPA - Centre for Aviation,1
"San Francisco International Airport pax up 5%, cargo up 22% in Dec-2016; 53.1m pax in 2016 | CAPA - Centre for Aviation",1
Atlanta Hartsfield-Jackson Airport remains the busiest airport in the world in 2016 | CAPA - Centre for Aviation,1
"Delta Air Lines pax up 1%, 81% load factor in Jan-2017 | CAPA - Centre for Aviation",1
InselAir CEO steps down | CAPA - Centre for Aviation,0
"Icelandair reports challenging 2016, 'long-term prospects are good' | CAPA - Centre for Aviation",1
Wizz Air pax up 23% to 1.9m in Jan-2017 | CAPA - Centre for Aviation,1
UK launches draft NPS for planning policy framework at London Heathrow Airport | CAPA - Centre for Aviation,0
UK Government to seek 'positive and constructive' partnership with EU | CAPA - Centre for Aviation,0
Sao Paulo Guarulhos International Airport pax down 8% in Dec-2016; 36.6m pax in 2016 | CAPA - Centre for Aviation,1
"San Francisco International Airport pax up 5%, cargo up 22% in Dec-2016; 53.1m pax in 2016 | CAPA - Centre for Aviation",1
Atlanta Hartsfield-Jackson Airport remains the busiest airport in the world in 2016 | CAPA - Centre for Aviation,1
"Sapporo Chitose Airport pax down 1% in Dec-2016, 21.3m pax in 2016 | CAPA - Centre for Aviation",1
Jet Airways declares another profitable quarter,0
CEOs from Top US Airlines Request Meeting with Rex Tillerson on Gulf Carriers | TravelPulse,0
Spirit Airlines Reduce Approved Bag Size for Carry-On Policy | TravelPulse,0
Deal Alert: Roundtrip Flights to Toronto for $359 | TravelPulse,1
Air Arabia shareholders approve seven percent cash dividend at Annual General Meeting,0
Etihad Airways continues sustainability drive across its global airline fleet,1
Alitalia engineers graduate from Etihad Airways,0
Jet Airways and Fiji Airways announce codeshare agreement,1
Delta Air Lines Using Quieter Planes at LaGuardia Due to Noise Complaints | TravelPulse,0
"DOT Tentatively Awards Coveted Mexico Slots to Alaska, JetBlue, SWA | TravelPulse",0
Delta Rolls Out Enhanced Boarding in Atlanta | TravelPulse,0
Europe Bracing For Air Travel Strikes | TravelPulse,0
WATCH: Fascinating Video Condenses Nine-Hour Flight Into 34 Minutes | TravelPulse,0
"Deal Alert: Travel to Bora Bora With Air Tahiti Nui for $1,998 | TravelPulse",1
Thomas Cook Airlines Named World's Leading Charter Airline for Second Year Running | TravelPulse,0
TAP Portugal Enhances Stopover Program | TravelPulse,1
A4A Survey Says Fliers More Satisfied In 2016 | TravelPulse,0
Buffett Rebuffs Talk of Airline Buy | TravelPulse,0
Pesky Mouse Delays Flight 4 Hours | TravelPulse,0
United Airlines CEO: Current ATC system is 'a gravel road when we need a highway' | CAPA - Centre for Aviation,0
Grupo Aeroportuario del Sureste pax up 9% in Feb-2017 | CAPA - Centre for Aviation,1
"Bahrain International Airport pax down 3%, cargo up 19% in Jan-2017 | CAPA - Centre for Aviation",1
"Chicago O'Hare International Airport pax stable, cargo up 16% in Jan-2017 | CAPA - Centre for Aviation",1
ACCC: Australia's four largest airports collect USD1.2bn more revenue per passenger over a decade | CAPA - Centre for Aviation,0
"Tunisair pax up 11% to 200,584 in Feb-2017 | CAPA - Centre for Aviation",1
Abu Dhabi International Airport to have handling capacity of 30m pax in 2019 | CAPA - Centre for Aviation,1
IATA: 10 largest country markets handled 2.2bn passengers in 2016 | CAPA - Centre for Aviation,0
"IATA: US, China and Japan account for majority of 3.8bn passengers in 2016 | CAPA - Centre for Aviation",0
"Ryanair pax up 10% to 8.2m in Feb-2017, 95% load factor | CAPA - Centre for Aviation",1
IAG pax up 3% to 6.5m in Feb-2017 | CAPA - Centre for Aviation,1
All Nippon Airways reports top domestic routes by pax in Jan-2017 | CAPA - Centre for Aviation,1
Edinburgh tops international passenger growth for major UK airports in 2016 | CAPA - Centre for Aviation,0
"US DoT tentatively awards slot-pairs at Mexico City, New York JFK airports | CAPA - Centre for Aviation",0
Etihad Airways checks in for a new sponsorship journey with Major League Soccer,0
Deal Alert: Travel to Sweden From the East Coast for $342 | TravelPulse,1
Etihad Airways secures IATA certification for successful implementation of enhanced booking system,0
How Do Airlines Get Their Planes? | TravelPulse,0
TSA Enhances Airport Pat-Downs | TravelPulse,0
Philippines DOTr to hold prequalification conference for five regional airport tender on 13-Mar-2017 | CAPA - Centre for Aviation,0
Delta: Capacity discipline supportive of improving unit revenue trends | CAPA - Centre for Aviation,0
"Seoul Gimpo International Airport pax down 2%, cargo down 4% in Feb-2017 | CAPA - Centre for Aviation",1
Fraport Greece reports procedures in motion to facilitate concession of 14 Greek regional airports | CAPA - Centre for Aviation,0
"Flughafen Zurich AG EBITDA up 15% in 2016, 2017 EBITDA to be in line with 2016 | CAPA - Centre for Aviation",1
"Guangzhou Baiyun International Airport pax up 8%, cargo up 23% in Feb-2017 | CAPA - Centre for Aviation",1
"Volaris preliminary pax numbers up 14% in Feb-2017, 80% load factor | CAPA - Centre for Aviation",1
IAG to commence EUR500m share buyback programme | CAPA - Centre for Aviation,0
Russia's Government allocates EUR843m for development of aircraft manufacturing in 2016 | CAPA - Centre for Aviation,0
"Hyderabad Rajiv Gandhi International Airport pax up 26%, cargo up 13% in Jan-2017 | CAPA - Centre for Aviation",1
"Bangalore Kempegowda International Airport pax up 27%, cargo up 7% in Jan-2017 | CAPA - Centre for Aviation",1
"Delhi Indira Gandhi International Airport pax up 21%, cargo up 8% in Jan-2017 | CAPA - Centre for Aviation",1
NSW Government to support regional tourism with USD227m fund | CAPA - Centre for Aviation,0
Airports Council International announces the top airports for customer service in 2016 | CAPA - Centre for Aviation,1
AFRAA reports capacity (seats) up 2% in Feb-2017 | CAPA - Centre for Aviation,1
Eurocontrol: European flights increase above high forecast range in Jan-2017 | CAPA - Centre for Aviation,1
"Fraport Greece increases share capital by EUR620m, ready to take over concession of 14 airports | CAPA - Centre for Aviation",0
CSA Czech Airlines reports EUR10.5m operating profit in 2016 | CAPA - Centre for Aviation,0
Air Transport Services Group profits decline in 2016 | CAPA - Centre for Aviation,0
Airways New Zealand to conduct four year ATM system upgrade | CAPA - Centre for Aviation,0
"Brazil’s domestic pax down 4% to 8.5m in Jan-2017, intl pax up 6% | CAPA - Centre for Aviation",1
ICAO Council adopts new CO2 emissions standard for aircraft | CAPA - Centre for Aviation,0
"easyJet pax up 8% to 5.3m in Feb-2017, load factor 92% | CAPA - Centre for Aviation",1
"Air Do pax up 27%, 68% load factor in Jan-2017 | CAPA - Centre for Aviation",1
IATA: 'a good start to the year for air cargo' in Jan-2017 | CAPA - Centre for Aviation,1
US President Trump issues executive order suspending entry into US for six countries | CAPA - Centre for Aviation,0
Jet Airways and Fiji Airways announce codeshare agreement | CAPA - Centre for Aviation,1
Delta expects margins to contract in 2017 as revenue improvement lags behind cost increases | CAPA - Centre for Aviation,0
UNWTO working towards conversion of 'Global Code of Ethics' into an international convention | CAPA - Centre for Aviation,0
369 cities within a five hour flight time from Hong Kong: HK Express | CAPA - Centre for Aviation,1
"Norwegian Air Shuttle pax up 12% in Feb-2017, yield down 13% | CAPA - Centre for Aviation",1
Etihad’s GBSS centre receives royal stamp of approval,0
"Alaska Airlines Plans to Hire 2,300 People This Year | TravelPulse",0
Mayors Pen Letter To Congress Urging Opposition To Privatizing ATC | TravelPulse,0
Flight Review: United from Houston to Bonaire | TravelPulse,1
"WATCH: Low, Low, Low Landing In St. Maarten | TravelPulse",0
Business Travel Coalition Pens Letter To Trump | TravelPulse,0
How Airlines Could Reduce Climate Change Impact By 10 Percent | TravelPulse,0
Three All-Women Flight Crews Soaring Through the Glass Ceiling | TravelPulse,0
Etihad Twists The Knife On US Airlines with new Sponsorship | TravelPulse,0
Flight in India Makes Emergency Landing Due to Smelly Bathroom | TravelPulse,0
Plans to Disclose Baggage Fees Scrapped Under Trump | TravelPulse,0
Passenger traffic up 10% in Jan-2017: IATA | CAPA - Centre for Aviation,1
PATA projects Asia Pacific foreign arrivals will reach more than 750m by 2021 | CAPA - Centre for Aviation,0
Japan MLITT: Three of top five domestic routes reported pax growth in 2016 | CAPA - Centre for Aviation,1
NSW Government to support regional tourism with USD227m fund | CAPA - Centre for Aviation,0
TSA Enhances Airport Pat-Downs | TravelPulse,0
"Austin-Bergstrom International Airport pax up 5%, cargo up 12% in Jan-2017 | CAPA - Centre for Aviation",1
Grupo Aeroportuario Del Pacífico pax up 11% in Feb-2017 | CAPA - Centre for Aviation,1
Belfast-London Gatwick becomes UK's busiest domestic route | CAPA - Centre for Aviation,1
First airberlin A320 in Austrian Airlines livery enters service | CAPA - Centre for Aviation,1
Satellite communications save airlines USD3bn from 2001 to 2016: Inmarsat and Helios | CAPA - Centre for Aviation,0
UAE to see over 4.8% passenger growth annually over next 20 years | CAPA - Centre for Aviation,1
"Avianca: Proposed alliance negotiations with United do not include capitalisation, credit or loans | CAPA - Centre for Aviation",0
EASA welcomes ICAO adoption of new CO2 emission standards for aircraft | CAPA - Centre for Aviation,0
UAC forecasts demand for aircraft by 2037 | CAPA - Centre for Aviation,0
Boeing is 'actively engaged in discussions with customers about the 737 MAX 10X' | CAPA - Centre for Aviation,0
Flight Review: Delta Air Lines From Atlanta to Frankfurt | TravelPulse,1
British Airways Reducing Legroom on Short-Haul Flights | TravelPulse,0
EasyJet Reports Improved Numbers Despite Weakened Pound | TravelPulse,0
Russian Airline Teaching Employees Self Defense to Combat Aggressive Passengers | TravelPulse,0
Toilet Paper Shortage Prompts Five-Hour Flight Delay | TravelPulse,0
WATCH: Qatar Airways Debuts New Business Suites | TravelPulse,0
NY/NJ Congressional Delegation Wants Trump To Bar New Emirates Flight | TravelPulse,0
"For Some At British Airways, It’s Fly The Plane And Then Clean It | TravelPulse",0
New Routes on Norwegian Air Bring Norway Even Closer | TravelPulse,0
Don’t Make These In-Flight Mistakes | TravelPulse,0
A4ANZ launched as new Australia and New Zealand airline body | CAPA - Centre for Aviation,1
Qatar Airways plans to launch first fully foreign-owned airline in India | CAPA - Centre for Aviation,1
Successful start at ITB Berlin 2017 for Emirates,1
Emirates teams up with Google for creative on-ground digital experiences,0
"Istanbul Sabiha Gokcen Airport pax down 6%, cargo down 1% in Feb-2017 | CAPA - Centre for Aviation",1
"Dallas/Fort Worth International Airport pax up 3%, cargo up 16% in Jan-2017 | CAPA - Centre for Aviation",1
"Seoul Incheon International Airport pax up 11%, cargo up 17% in Feb-2017 | CAPA - Centre for Aviation",1
Doha Hamad International Airport pax up 14% in Jan-2017 | CAPA - Centre for Aviation,1
"Shenzhen Bao'an International Airport pax up 4%, cargo up 30% in Feb-2017 | CAPA - Centre for Aviation",1
Dublin Airport pax up 4% to 1.8m in Feb-2017 | CAPA - Centre for Aviation,1
"Singapore Changi Airport T4 to open in 2H2017, planning for T5 on track | CAPA - Centre for Aviation",1
Schiphol to conduct large scale maintenance of runway 06/24 | CAPA - Centre for Aviation,0
Royal Schiphol Group notes changes in long haul traffic between Europe and North America | CAPA - Centre for Aviation,1
Airways NZ launches new aeronautical services company | CAPA - Centre for Aviation,1
"United Airlines pax stable at 9.9m in Feb-2017, 77% load factor | CAPA - Centre for Aviation",1
Qatar Airways announces new business class cabin featuring the 'QSuite' | CAPA - Centre for Aviation,1
SAS revenue up 8% in Q1FY2017 | CAPA - Centre for Aviation,0
"Air France-KLM pax stable at 5.7m in Feb-2017, 85% load factor | CAPA - Centre for Aviation",1
Flight Diverted After Passenger Complains About $12 Blanket | TravelPulse,0
Deal Alert: Seattle to Munich for $438 This Spring | TravelPulse,1
This Sensor-Based Solution is Reducing Headaches for Air Travelers | TravelPulse,0
CAPA Fleet Analysis: 42 new Boeing orders attributed to unidentified customers in Feb-2017 | CAPA - Centre for Aviation,0
IATA: Airline 4Q2016 airline financial results show decline in profitability continues | CAPA - Centre for Aviation,0
Doha Hamad International Airport pax up 14% in Jan-2017 | CAPA - Centre for Aviation,1
Embraer net profit doubles in 2016 | CAPA - Centre for Aviation,0
FLY Leasing ends 2016 in the red | CAPA - Centre for Aviation,0
Embraer forecasts 97-102 commercial aircraft deliveries for 2017 | CAPA - Centre for Aviation,0
Rockwell Collins’ shareholders vote in favor of B/E Aerospace acquisition | CAPA - Centre for Aviation,0
Embraer net profit doubles in 2016 | CAPA - Centre for Aviation,0
Discover more of India this summer with Jet Airways,1
Manchester Airports Group airports pax up 5% in Feb-2017 | CAPA - Centre for Aviation,1
"Santiago International Airport pax up 12%, cargo down 12% in Jan-2017 | CAPA - Centre for Aviation",1
London Stansted Airport pax down 2% to 1.7m in Feb-2017 | CAPA - Centre for Aviation,1
"Christchurch International Airport pax up 3%, cargo up 2% in Jan-2017 | CAPA - Centre for Aviation",1
Istanbul Ataturk Airport pax down 8% in Feb-2017 | CAPA - Centre for Aviation,1
TAV Airports Holdings pax down 4% in Feb-2017 | CAPA - Centre for Aviation,1
"John Menzies plc profits mixed in 2016, confident of 2017 outlook | CAPA - Centre for Aviation",0
Pegasus Airlines to buy airberlin stake in IZair | CAPA - Centre for Aviation,0
"American Airlines Group pax numbers down 3% at 14.1m in Feb-2017, cargo traffic up 10% | CAPA - Centre for Aviation",1
"WestJet pax traffic up 5% in Feb-2017, load factor 85% | CAPA - Centre for Aviation",1
"Lufthansa Group pax numbers up 12% to 7.8m in Feb-2017, 75.0% load factor | CAPA - Centre for Aviation",1
"LATAM Airlines Group pax numbers down 5% to 5.2m in Feb-2017, cargo traffic down 9% | CAPA - Centre for Aviation",1
"ALTA pax numbers up 4% at 22.4m in Jan-2017, cargo traffic down 4% | CAPA - Centre for Aviation",1
Embraer announces Azul as launch carrier for its Embraer 195-E2 programme | CAPA - Centre for Aviation,1
London-Bound Flight Diverted After 'Terror Talk' Overheard | TravelPulse,0
JetBlue is Gearing Up for the Long-Range Game | TravelPulse,0
Air France Announces Perfect Parisian Pop-Up | TravelPulse,0
American Flight Attendant Charged With Voyeurism | TravelPulse,0
Renowned Singapore Airport Gets Super Sized | TravelPulse,0
Hawaiian Airlines Brings the Islands to JFK | TravelPulse,0
United CEO on Dao Debacle: 'If I Had Just Waited' | TravelPulse,0
United Allegedly Wrestled 17th-Century Violin Away | TravelPulse,0
Scorpion Stings Passenger on Flight to Chicago | TravelPulse,0
American Commits $1.6 Billion Toward LAX Domination | TravelPulse,0
Qatar Airways in Trouble as Middle East Allies Back Up | TravelPulse,0
President Carter Shakes Every Hand Boarding Flight | TravelPulse,0
Etihad Airways appoints new General Manager in Oman,0
Delta Pulls Theater Deal Over Trump Murder Depiction | TravelPulse,0
Did EasyJet Pilot Take 'Safety Vote' from Passengers? | TravelPulse,0
Wheelchair-Bound Passenger Says United Employee Dropped Her | TravelPulse,0
